,inicio,varinicio,varfim,pt_v,id,vir,inteiro,real,literal,leia,escreva,lit,num,rcb,opm,se,ab_p,fc_p,entao,opr,fimse,repita,fimrepita,fim,eof
65,,,,,r19,,,,,r19,r19,,,,,r19,,,,,r19,r19,r19,r19,e1
66,e6,e6,e6,e6,e6,e6,e6,e6,e6,e6,e6,e6,e6,e6,e6,e6,e6,e6,s70,e6,e6,e6,e6,e6,e1
67,,,,,s55,,,,,,,,s56,,,,,,,,,,,,e1
68,,,,,r34,,,,,r34,r34,,,,,r34,,,,,,,r34,,e1
69,,,,r7,,,,,,,,,,,,,,,,,,,,,e1
70,,,,,r26,,,,,r26,r26,,,,,r26,,,,,r26,,,,e1
71,,,,,,,,,,,,,,,,,,r27,,,,,,,e1
72,,,,,s55,,,,,,,,s56,,,,,,,,,,,,e1
73,,,,r20,,,,,,,,,,,,,,,,,,,,,e1
74,,,,,r35,,,,,r35,r35,,,,,r35,,,,,,r35,,r35,e1
75,,,,,r36,,,,,r36,r36,,,,,r36,,,,,,r36,,r36,e1
76,,,,,r37,,,,,r37,r37,,,,,r37,,,,,,r37,,r37,e1
